"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"36","198349","53.994706401333204","36","203962","53.35751396921871","36","200965","54.81815508283502","36","162628","52.31840015684737","36","163903","51.357710028428585","36","198748","53.4555435741594","36","204646","53.573179100088225","36","189490","53.08303107538477","36","222910","57.87667875698461","36","205906","54.35741593961376"
,"37","204445","54.27899225566121","37","210472","53.68101166552299","37","207763","54.97500245074012","37","169108","52.69091265562199","37","170986","51.49495147534555","37","205531","53.68101166552299","37","211372","53.77904127046368","37","196264","53.259484364278016","37","229459","57.9747083619253","37","212491","54.53386922850701"
,"38","211126","54.56327810998921","38","216937","53.97510048034506","38","214396","55.1416527791393","38","175594","53.02421331242035","38","177667","51.602784040780314","38","212134","53.965297519851","38","217924","53.94569159886286","38","202924","53.494755416135675","38","235903","58.1021468483482","38","219415","54.671110675423975"
,"39","217759","54.671110675423975","39","223816","54.21037153220273","39","221440","55.28869718655034","39","182146","53.318302127242426","39","184432","51.74982844819135","39","218593","54.092736006273896","39","224569","54.092736006273896","39","209644","53.70061758651113","39","242716","58.37662974218214","39","226315","54.837761003823154"
,"40","224233","54.87697284579943","40","230200","54.46524850504852","40","228316","55.48475639643172","40","188935","53.68101166552299","40","191311","51.896872855602396","40","225247","54.29859817664935","40","231589","54.269189295167145","40","216259","53.906479756886576","40","249391","58.57268895206352","40","232774","54.945593569257916"
,"41","231091","55.024017253210474","41","236809","54.6318988334477","41","235006","55.66120968532497","41","195607","53.88687383589844","41","197791","52.08312910498971","41","231706","54.514263307518874","41","238372","54.46524850504852","41","222886","54.082933045779825","41","256030","58.71973335947456","41","239386","55.092637976668954"
,"42","237736","55.28869718655034","42","243541","54.8867758062935","42","241546","55.778845211253795","42","202186","54.1221448877561","42","204670","52.27918831487109","42","238975","54.612292912459566","42","245191","54.6318988334477","42","229597","54.27899225566121","42","262552","58.90598960886187","42","246259","55.25928830506813"
,"43","244285","55.51416527791393","43","250450","55.24948534457406","43","248152","56.04352514459367","43","208879","54.38682482109597","43","211276","52.455641603764334","43","245791","54.78874620135281","43","252094","54.71032251740026","43","236398","54.5044603470248","43","269221","59.07263993726105","43","253087","55.50436231741986"
,"44","250594","55.700421527301245","44","257512","55.435741593961374","44","254809","56.27879619645133","44","215491","54.690716596412116","44","218350","52.57327712969317","44","252676","55.024017253210474","44","258946","54.82795804332908","44","243082","54.759337319870596","44","276052","59.13145770022547","44","259879","55.631800803842765"
,"45","257695","55.83766297421822","45","264526","55.58278600137241","45","261505","56.465052445838644","45","222082","54.935790608763845","45","225643","52.75953337908048","45","259753","55.24948534457406","45","265990","54.95539652975199","45","249874","54.935790608763845","45","282670","59.278502107636506","45","266932","55.82786001372415"
,"46","264274","56.00431330261739","46","271249","55.84746593471228","46","268450","56.69052053720223","46","229180","55.112243897657095","46","232495","52.90657778649152","46","266587","55.523968238408","46","272644","55.22007646309186","46","256756","55.190667581609645","46","289141","59.5039701990001","46","274387","56.09253994706401"
,"47","270910","56.1905695520047","47","277957","56.06313106558181","47","275194","56.93559454955396","47","235492","55.278894226056266","47","239308","53.11243995686697","47","273595","55.700421527301245","47","279709","55.33771198902068","47","263659","55.445544554455445","47","295684","59.709832369375555","47","281221","56.44544652485051"
,"48","277708","56.32781099892167","48","285214","56.27879619645133","48","282181","57.1806685619057","48","241936","55.41613567297324","48","246187","53.27909028526615","48","280333","55.88667777668856","48","286576","55.55337711989021","48","270637","55.631800803842765","48","302359","59.90589157925694","48","288496","56.719929418684444"
